Old Loadsheet Name,ItemCatagory,ItemNumber,Item,Quantity,AssetKind
MATERIALS,HEPA VACUUM FILTERS,1007,SMALL MAIN FILTER,EACH,
MATERIALS,HEPA VACUUM FILTERS,1010,SMALL VACUUM BAG,EACH,
MATERIALS,HEPA VACUUM FILTERS,1012,LARGE VACUUM BAG,EACH,
MATERIALS,HEPA VACUUM FILTERS,1015,ULTI VAC FILTERS,EACH,
MATERIALS,HEPA VACUUM FILTERS,1029,SHOP VAC DISPOSABLE,EACH,
MATERIALS,HEPA VACUUM FILTERS,1031,EURO CLEAN BAG,EACH,
MATERIALS,HEPA VACUUM FILTERS,1034,"HEPA FILTER16""/15 GAL",EACH,
MATERIALS,HEPA VACUUM FILTERS,1035,EUROCLEAN HEPA FILTER,EACH,
MATERIALS,HEPA VACUUM FILTERS,1036,LRG VAC PRE FILTER,EACH,
MATERIALS,HEPA VACUUM FILTERS,1037,LRG VAC MAIN HEPA FILTER,EACH,
MATERIALS,HEPA VACUUM FILTERS,1950,PREFILT 1ST STG24X24X8,EACH,
MATERIALS,HEPA VACUUM FILTERS,1951,2NDARY FILT23.5X23.5X1,EACH,
MATERIALS,HEPA VACUUM FILTERS,1952,MAIN HEPA W/GASKET,EACH,
MATERIALS,HEPA VACUUM FILTERS,1038,MERC FILL COLLECT BAG,EACH,
MATERIALS,HEPA VACUUM FILTERS,1039,MERC DACRON FILT BAG,EACH,
MATERIALS,HEPA VACUUM FILTERS,1032,CARBON FILTER (12/CS),EACH,
MATERIALS,HEPA VACUUM FILTERS,1042,IMPACT FILTER 10/PK,EACH,
MATERIALS,HEPA VACUUM FILTERS,1033,24 X 24 X2 CHARRCO FILT,EACH,
MATERIALS,MONITORING EQUIP/MATERIALS,1300,CASSETTES ACM (50),EACH,
MATERIALS,MONITORING EQUIP/MATERIALS,1301,CASSETTE LEAD,EACH,
MATERIALS,MONITORING EQUIP/MATERIALS,1308,ALNOR CHARTS,EACH,
MATERIALS,MONITORING EQUIP/MATERIALS,1309,ALNOR RIBBONS,EACH,
EQUIPMENT,MONITORING EQUIP/MATERIALS,12170,FIT TEST KIT,EACH,
EQUIPMENT,MONITORING EQUIP/MATERIALS,12171,FIT TEST TUBES (6),EA/CS,
EQUIPMENT,MONITORING EQUIP/MATERIALS,12172,PERSONAL/ROTOMETER,EACH,
EQUIPMENT,MONITORING EQUIP/MATERIALS,12173,HIGH FLOW PUMP,EACH,
EQUIPMENT,MONITORING EQUIP/MATERIALS,12174,ALNOR MANOMETER,EACH,
EQUIPMENT,MONITORING EQUIP/MATERIALS,12175,LEAF BLOWER,EACH,
EQUIPMENT,MONITORING EQUIP/MATERIALS,12176,ELECTRIC FAN,EACH,
EQUIPMENT,MONITORING EQUIP/MATERIALS,12177,POLAROID CAMERA,EACH,
EQUIPMENT,MONITORING EQUIP/MATERIALS,12178,GAS/OXYGEN DETECTER,EACH,
MATERIALS,MONITORING EQUIP/MATERIALS,1315,CAMERA 35 MM,EACH,
EQUIPMENT,DUCT EQUIP/MATERIALS,12310,ROBOT (& CORD),EACH,
EQUIPMENT,DUCT EQUIP/MATERIALS,12311,CHIP MASTER,EACH,
EQUIPMENT,DUCT EQUIP/MATERIALS,12312,S C 6000 (W/HOSE & CORD),EACH,
EQUIPMENT,DUCT EQUIP/MATERIALS,12313,S C 3000 (W/HOSE & CORD),EACH,
EQUIPMENT,DUCT EQUIP/MATERIALS,12314,SKIPPERLINE - FORWARD,EACH,
EQUIPMENT,DUCT EQUIP/MATERIALS,12315,SKIPPERLINE - REAR,EACH,
EQUIPMENT,DUCT EQUIP/MATERIALS,12316,"1"" SKIPPER PLUGS",CASE,
EQUIPMENT,DUCT EQUIP/MATERIALS,12317,BRUSH RODS - LONG,EACH,
EQUIPMENT,DUCT EQUIP/MATERIALS,12318,BRUSH RODS - SHORT,EACH,
EQUIPMENT,DUCT EQUIP/MATERIALS,12319,NYLON BRUSH HEAD,EACH,
EQUIPMENT,DUCT EQUIP/MATERIALS,12320,SILICA BRUSH HEAD,EACH,
EQUIPMENT,DUCT EQUIP/MATERIALS,12321,BRUSH CABLE,EACH,
EQUIPMENT,DUCT EQUIP/MATERIALS,12322,AIRWAND,EACH,
EQUIPMENT,DUCT EQUIP/MATERIALS,12323,FOGGER,EACH,
EQUIPMENT,DUCT EQUIP/MATERIALS,12324,BORESCOPE,EACH,
EQUIPMENT,DUCT EQUIP/MATERIALS,12325,BRUSH MOTOR,EACH,
EQUIPMENT,DUCT EQUIP/MATERIALS,12326,PLASTIC SLEDS,EACH,
EQUIPMENT,DUCT EQUIP/MATERIALS,12327,HASPS HINGES,EACH,
EQUIPMENT,DUCT EQUIP/MATERIALS,12328,110 AIR COMPRESSOR,EACH,
EQUIPMENT,DUCT EQUIP/MATERIALS,12329,220 AIR COMPRESSOR,EACH,
EQUIPMENT,DUCT EQUIP/MATERIALS,12330,AIRLINE,EACH,
EQUIPMENT,DUCT EQUIP/MATERIALS,12331,TURBO JET 4200,EACH,
MATERIALS,DUCT EQUIP/MATERIALS,1900,4X4 DUCT PATCH,EACH,
MATERIALS,DUCT EQUIP/MATERIALS,1901,6X6 DUCT PATCH,EACH,
MATERIALS,DUCT EQUIP/MATERIALS,1902,8X8 DUCT PATCH,EACH,
MATERIALS,DUCT EQUIP/MATERIALS,1903,10X10 DUCT PATCH,EACH,
MATERIALS,DUCT EQUIP/MATERIALS,1904,12X12 DUCT PATCH,EACH,
MATERIALS,DUCT EQUIP/MATERIALS,1905,16X16 DUCT PATCH,EACH,
MATERIALS,DUCT EQUIP/MATERIALS,1906,20X20 DUCT PATCH,EACH,
MATERIALS,DUCT EQUIP/MATERIALS,1921,"8"" DUCT ATCO",EACH,
MATERIALS,DUCT EQUIP/MATERIALS,1922,"10"" DUCT ATCO",EACH,
MATERIALS,DUCT EQUIP/MATERIALS,1908,10X6X6 SPIRAL DOOR,EACH,
MATERIALS,DUCT EQUIP/MATERIALS,1909,10X6X8 SPIRAL DOOR,EACH,
MATERIALS,DUCT EQUIP/MATERIALS,1910,10X6X10 SPIRAL DOOR,EACH,
MATERIALS,DUCT EQUIP/MATERIALS,1911,10X6X12 SPIRAL DOOR,EACH,
MATERIALS,DUCT EQUIP/MATERIALS,1912,10X6X14 SPIRAL DOOR,EACH,
MATERIALS,DUCT EQUIP/MATERIALS,1913,10X6X16 SPIRAL DOOR,EACH,
MATERIALS,DUCT EQUIP/MATERIALS,1914,10X12X20 SPIRAL DOOR,EACH,
MATERIALS,DUCT EQUIP/MATERIALS,1915,10212X24 SPIRAL DOOR,EACH,
MATERIALS,DUCT EQUIP/MATERIALS,1916,"IMCOA 1""",ROLL,
MATERIALS,DUCT EQUIP/MATERIALS,1917,"IMCOA 1/2""",ROLL,
MATERIALS,DUCT EQUIP/MATERIALS,1918,16 X 12 18 SPIRAL DOOR,EACH,
MATERIALS,DUCT EQUIP/MATERIALS,1919,16 X 12 16 SPIRAL DOOR,EACH,
MATERIALS,DUCT EQUIP/MATERIALS,1920,16 X 12 20 SPIRAL DOOR,EA/CS,
MATERIALS,DUCT EQUIP/MATERIALS,1943,6 X 6 INSUL PATCHES,EACH,
MATERIALS,DUCT EQUIP/MATERIALS,1944,8 X 8 INSUL PATCHES,EACH,
MATERIALS,DUCT EQUIP/MATERIALS,1945,10 X 10 INSUL PATCHES,EACH,
MATERIALS,DUCT EQUIP/MATERIALS,1946,12 X 12 INSUL PATCHES,EACH,
MATERIALS,DUCT EQUIP/MATERIALS,1947,16 X 16 INSUL PATCHES,EACH,
MATERIALS,DUCT EQUIP/MATERIALS,1948,20 X 20 INSUL PATCHES,EACH,
MATERIALS,DUCT EQUIP/MATERIALS,1949,#373 ADHESIVE,CAN,
MATERIALS,DUCT EQUIP/MATERIALS,1954,"1/2"" RIVETS",EACH,
MATERIALS,DUCT EQUIP/MATERIALS,1955,"1"" RIVETS",EACH,
MATERIALS,DUCT EQUIP/MATERIALS,1957,RIVET WASHER,EACH,
MATERIALS,DUCT EQUIP/MATERIALS,1956,"3"" DUCT PLATE",EACH,
MATERIALS,DUCT EQUIP/MATERIALS,1958,CHALK,EACH,
MATERIALS,DUCT EQUIP/MATERIALS,1959,16X16 ACCESS DOOR,EACH,
MATERIALS,DUCT EQUIP/MATERIALS,1963,10x10 ACCESS DOOR,EACH,
MATERIALS,DUCT EQUIP/MATERIALS,1964,6X6 ACCESS DOOR,EACH,
MATERIALS,DUCT EQUIP/MATERIALS,1965,8X8 ACCESS DOOR,EACH,
MATERIALS,DUCT EQUIP/MATERIALS,12280,poly clips ceiling,EACH,
MATERIALS,DUCT EQUIP/MATERIALS,12281,poly clips wall,EACH,
MATERIALS,MISC EQUIPMENT,12326,PLASTIC SLEDS,EACH,
MATERIALS,MISC EQUIPMENT,12327,HASPS HINGES,EACH,
MATERIALS,SPEC CLEANING MATERIALS,8000,LRG WK BEHIND VAC BAG,EACH,
MATERIALS,SPEC CLEANING MATERIALS,8001,BACK PACK VAC BAG,EACH,
MATERIALS,SPEC CLEANING MATERIALS,8002,UPRIGHT VAC BAG,EACH,
MATERIALS,SPEC CLEANING MATERIALS,8003,LIME SOLVENT (1 GAL),GAL,
MATERIALS,SPEC CLEANING MATERIALS,8004,JOHNSON SIG WAX (5GAL),GAL,
MATERIALS,SPEC CLEANING MATERIALS,8005,NEUTRAL CLEANER (1 GAL),GAL,
MATERIALS,SPEC CLEANING MATERIALS,8006,JOHNSON FAST STRIP (5 GAL),GAL,
MATERIALS,MISCELLANEOUS MATERIALS,2227,WATER BOTTLES,EACH,
MATERIALS,MISCELLANEOUS MATERIALS,2228,WATER CUPS,EACH,
MATERIALS,MISCELLANEOUS MATERIALS,2244,PROPOANE 100 LBS BTL,EACH,
MATERIALS,MISCELLANEOUS MATERIALS,2245,PROPANE 33 LBS BOTTLE,EACH,
MATERIALS,MISCELLANEOUS MATERIALS,2246,PROPANE BOTTLE 20 LBS,EACH,
MATERIALS,MISCELLANEOUS MATERIALS,2247,PROPANE BOTTLE 30 LBS,EACH,
MATERIALS,MISCELLANEOUS MATERIALS,2268,D-CELL BATTERIES,EACH,
MATERIALS,MISCELLANEOUS MATERIALS,2269,AA BATTERIES,EACH,
MATERIALS,MISCELLANEOUS MATERIALS,2270,AAA BATTERIES,EACH,
MATERIALS,MISCELLANEOUS MATERIALS,2304,"4"" RAZOR BLADES",EACH,
MATERIALS,MISCELLANEOUS MATERIALS,2308,"5"" RAZOR BLADES",EACH,
MATERIALS,MISCELLANEOUS MATERIALS,2310,"8"" RAZOR BLADE",EACH,
MATERIALS,MISCELLANEOUS MATERIALS,2313,TILE POPPER BLADE 3.5X7.0,EACH,
MATERIALS,MISCELLANEOUS MATERIALS,2315,ROBERTS SCRAPER BLADES,EACH,
MATERIALS,MISCELLANEOUS MATERIALS,2316,TAYLOR BLADES,EACH,
MATERIALS,MISCELLANEOUS MATERIALS,2317,SPYDER SCRAPER BLADE,EACH,
MATERIALS,MISCELLANEOUS MATERIALS,2318,AIR CHIPPER BLADES,EACH,
MATERIALS,MISCELLANEOUS MATERIALS,2323,"7/8""x12"" SCRAPER BLADE",EACH,
MATERIALS,MISCELLANEOUS MATERIALS,2271,9 VOLT BATTERY,EACH,
MATERIALS,MISCELLANEOUS MATERIALS,2273,OXYGEN,EACH,
MATERIALS,MISCELLANEOUS MATERIALS,2274,ACETYLENE,EACH,
MATERIALS,MISCELLANEOUS MATERIALS,2277,TURTLES,EACH,
MATERIALS,MISCELLANEOUS MATERIALS,2319,KEROSINE,EACH,
MATERIALS,MISCELLANEOUS MATERIALS,2321,POWER SCRAPER BLADES,EACH,
MATERIALS,MISCELLANEOUS MATERIALS,15751,2-1/2 QT MIXING CONTAINER,EACH,
MATERIALS,MISCELLANEOUS MATERIALS,15753,5 QT MULTI MIX 100/CS,EACH,
FLOORING ONLY,MISCELLANEOUS MATERIALS,15623,Concrete Mender,GAL,
FLOORING ONLY,MISCELLANEOUS MATERIALS,15626,Consolideck Lithium Silicate,GAL,
FLOORING ONLY,MISCELLANEOUS MATERIALS,15629,QWIKJOINT 200 22OZ CART,EACH,
FLOORING ONLY,MISCELLANEOUS MATERIALS,15630,CONSOLIDECK SLX100,EACH,
EQUIPMENT,RESPIRATORS,12000,NORTH MASK - SMALL,EACH,
EQUIPMENT,RESPIRATORS,12000,NORTH MASK - MEDIUM,EACH,
EQUIPMENT,RESPIRATORS,12000,NORTH MASK - LARGE,EACH,
EQUIPMENT,RESPIRATORS,12001,3M HALF MASK - SMALL,EACH,
EQUIPMENT,RESPIRATORS,12001,3M HALF MASK - MEDIUM,EACH,
EQUIPMENT,RESPIRATORS,12001,3M HALF MASK - LARGE,EACH,
EQUIPMENT,RESPIRATORS,12002,3M PAPR COMPLETE,EACH,
EQUIPMENT,RESPIRATORS,12003,3M FACE SHIELD,EACH,
EQUIPMENT,RESPIRATORS,12004,EXTRA 3M CHARGER,EACH,
EQUIPMENT,RESPIRATORS,12005,3M 10 CHARGER,EACH,
EQUIPMENT,RESPIRATORS,12006,3M BATTERY,EACH,
EQUIPMENT,RESPIRATORS,12007,EXTRA 3M MOTOR,EACH,
EQUIPMENT,RESPIRATORS,12008,3M FULL FACE RESP,EACH,
EQUIPMENT,RESPIRATORS,12009,PAPR STRAP ,EACH,
EQUIPMENT,CONSTRUCTION SIGNS,12020,DANGER ASBESTOS,EACH,
EQUIPMENT,CONSTRUCTION SIGNS,12021,DANGER KEEPOUT/CONST.,EACH,
EQUIPMENT,CONSTRUCTION SIGNS,12022,LEAD SIGNS,EACH,
EQUIPMENT,CONSTRUCTION SIGNS,12023,CONFINED SPACE SIGNS,EACH,
EQUIPMENT,CONSTRUCTION SIGNS,12024,CAUTION BARRACADE TAPE,ROLL,
EQUIPMENT,CONSTRUCTION SIGNS,12025,DANGER ASBESTOS TAPE,ROLL,
EQUIPMENT,CONSTRUCTION SIGNS,12026,ASBESTOS STICKERS,ROLL,
EQUIPMENT,CONSTRUCTION SIGNS,12027,HMIS LABELS,ROLL,
EQUIPMENT,CONSTRUCTION SIGNS,12028,ROPE,FOOT,
EQUIPMENT,SAFETY MATERIALS/EQUIPMENT,12040,SAFETY HARNESS,EACH,
EQUIPMENT,SAFETY MATERIALS/EQUIPMENT,12041,SAFETY LANYARD,EACH,
EQUIPMENT,SAFETY MATERIALS/EQUIPMENT,12042,RETRACTABLE LANYARD,EACH,
EQUIPMENT,SAFETY MATERIALS/EQUIPMENT,12043,RETRACTABLE LANYARD 25',EACH,
EQUIPMENT,SAFETY MATERIALS/EQUIPMENT,12044,CROSSARM STRAP,EACH,
EQUIPMENT,SAFETY MATERIALS/EQUIPMENT,12045,CARRIBEANER,EACH,
EQUIPMENT,SAFETY MATERIALS/EQUIPMENT,12046,SAFETY ROPE-                          FT,FOOT,
EQUIPMENT,SAFETY MATERIALS/EQUIPMENT,12047,SAFETY SLIDES,EACH,
EQUIPMENT,SAFETY MATERIALS/EQUIPMENT,12048,SAFETY GLASS CLEANER,CAN,
EQUIPMENT,SAFETY MATERIALS/EQUIPMENT,12049,SAFETY GOGGLES,EACH,
EQUIPMENT,SAFETY MATERIALS/EQUIPMENT,12050,ELECTRIC TESTERS,EACH,
EQUIPMENT,SAFETY MATERIALS/EQUIPMENT,12051,SAFETY CONES,EACH,
EQUIPMENT,SAFETY MATERIALS/EQUIPMENT,12052,FIRST AID KIT,EACH,
EQUIPMENT,SAFETY MATERIALS/EQUIPMENT,12053,WET FLOOR SIGNS,EACH,
EQUIPMENT,SAFETY MATERIALS/EQUIPMENT,12054,FIRE EXTINGUISHER,EACH,
EQUIPMENT,SAFETY MATERIALS/EQUIPMENT,12055,ORANGE SAFTEY PILLAR,EACH,
EQUIPMENT,SAFETY MATERIALS/EQUIPMENT,12056,LOCK-OUT/TAG-OUT,EACH,
EQUIPMENT,SAFETY MATERIALS/EQUIPMENT,12057,LOCK-OUT TAGS,EACH,
EQUIPMENT,SAFETY MATERIALS/EQUIPMENT,12058,LOCK-OUT KIT,EACH,
EQUIPMENT,SAFETY MATERIALS/EQUIPMENT,12059,HARD HATS,EACH,
EQUIPMENT,SAFETY MATERIALS/EQUIPMENT,12060,EAR PLUGS,PAIR,
EQUIPMENT,SAFETY MATERIALS/EQUIPMENT,12061,KNEE PADS,PAIR,
EQUIPMENT,SAFETY MATERIALS/EQUIPMENT,12062,EAR MUFFS,PAIR,
EQUIPMENT,DECON EQUIPMENT,12080,SHOWER KIT,EACH,
EQUIPMENT,DECON EQUIPMENT,12081,50' WATER HOSE,EACH,
EQUIPMENT,DECON EQUIPMENT,12082,GREEN HOSE,EACH,
EQUIPMENT,DECON EQUIPMENT,12083,SHORT HOSE,EACH,
EQUIPMENT,DECON EQUIPMENT,12084,METAL SHOWER,EACH,
EQUIPMENT,DECON EQUIPMENT,12085,INLINE SHOWER PUMP,EACH,
EQUIPMENT,DECON EQUIPMENT,12086,3 RM DECON W/POLES,EACH,
EQUIPMENT,DECON EQUIPMENT,12087,SUMP PUMP,EACH,
EQUIPMENT,DECON EQUIPMENT,12088,SHOWER HEAD,EACH,
EQUIPMENT,DECON EQUIPMENT,12089,HOSE Y'S,EACH,
EQUIPMENT,DECON EQUIPMENT,12090,HOSE GASKETS,EACH,
EQUIPMENT,DECON EQUIPMENT,12091,SHOWER TUB,EACH,
EQUIPMENT,DECON EQUIPMENT,12092,SPRAY NOZZLE,EACH,
EQUIPMENT,DECON EQUIPMENT,12093,WATER HEATER,EACH,
EQUIPMENT,DECON EQUIPMENT,12094,DOUBLE FEMALE,EACH,
EQUIPMENT,DECON EQUIPMENT,12095,DOUBLE MALE,EACH,
EQUIPMENT,DECON EQUIPMENT,12096,MICRON SOCK,EACH,
EQUIPMENT,DECON EQUIPMENT,12097,WATER CAPS,EACH,
EQUIPMENT,DECON EQUIPMENT,12098,PVC FRAME,EACH,
EQUIPMENT,DECON EQUIPMENT,12099,FILTER HOUSING 10 IN,EACH,
EQUIPMENT,DECON EQUIPMENT,12100,"20"" FILTER UNIT STAGE 3",EACH,
EQUIPMENT,DECON EQUIPMENT,12101,FREEZER FLAPS,PAIR,
EQUIPMENT,DECON EQUIPMENT,12102,FILTER CANISTER WRENCH,EACH,
EQUIPMENT,DECON EQUIPMENT,12103,ZIP WALL 20',EACH,
EQUIPMENT,DECON EQUIPMENT,12104,ZIP WALL 12',EACH,
EQUIPMENT,DECON EQUIPMENT,12105,ZIP WALL CARRYING BAG,EACH,
EQUIPMENT,HEPA'S / VACUUMS,12110,LARGE HEPA 2000,EACH,
EQUIPMENT,HEPA'S / VACUUMS,12111,SMALL HEPA JR,EACH,
EQUIPMENT,HEPA'S / VACUUMS,12112,HEPA SCHROUDS,EACH,
EQUIPMENT,HEPA'S / VACUUMS,12113,SMALL VACUUM-AROM,EACH,
EQUIPMENT,HEPA'S / VACUUMS,12114,LARGE VACUUM,EACH,
EQUIPMENT,HEPA'S / VACUUMS,12115,EXTRA VACUUM HOSE,EACH,
EQUIPMENT,HEPA'S / VACUUMS,12116,ULTI VACS,EACH,
EQUIPMENT,HEPA'S / VACUUMS,12117,FLOOR WAND BRUSH,EACH,
EQUIPMENT,HEPA'S / VACUUMS,12118,FLOOR WAND SQUEEGEE,EACH,
EQUIPMENT,HEPA'S / VACUUMS,12119,FLOOR WAND FLAT,EACH,
EQUIPMENT,HEPA'S / VACUUMS,12120,ORANGE CLAW,EACH,
EQUIPMENT,HEPA'S / VACUUMS,12121,UPRIGHT VAC,EACH,
EQUIPMENT,HEPA'S / VACUUMS,12122,"6"" VAC BRUSH",EACH,
EQUIPMENT,HEPA'S / VACUUMS,12123,CREVIS TOOL,EACH,
EQUIPMENT,HEPA'S / VACUUMS,12124,VAC EXTENSION,EACH,
EQUIPMENT,HEPA'S / VACUUMS,12125,"3"" ROUND VAC HEAD",EACH,
EQUIPMENT,HEPA'S / VACUUMS,12126,"3"" ROUND REPL HEAD",EACH,
EQUIPMENT,HEPA'S / VACUUMS,12127,55 GAL VAC,EACH,
EQUIPMENT,HEPA'S / VACUUMS,12128,VAC HOSE CVR-ORG POLY,EACH,
EQUIPMENT,HEPA'S / VACUUMS,12129,HEPA HOSE CLAMP EXH,EACH,
EQUIPMENT,HEPA'S / VACUUMS,12130,EURO CLEAN VAC,EACH,
EQUIPMENT,HEPA'S / VACUUMS,12131,MERCURY VACUUM,EACH,
EQUIPMENT,AIRLESS EQUIP/MATERIALS,12140,AIRLESS,EACH,
EQUIPMENT,AIRLESS EQUIP/MATERIALS,12141,AIRLESS GUN,EACH,
EQUIPMENT,AIRLESS EQUIP/MATERIALS,12142,AIRLESS GUN EXTENSION,EACH,
EQUIPMENT,AIRLESS EQUIP/MATERIALS,12143,AIRLESS HOSE,EACH,
EQUIPMENT,AIRLESS EQUIP/MATERIALS,12144,AIRLESS CONNECTORS,EACH,
EQUIPMENT,AIRLESS EQUIP/MATERIALS,12145,OIL FOR AIRLESS,CAN,
EQUIPMENT,AIRLESS EQUIP/MATERIALS,12146,PAINT SOCKS,EACH,
EQUIPMENT,AIRLESS EQUIP/MATERIALS,12147,GAS CAN,EACH,
EQUIPMENT,AIRLESS EQUIP/MATERIALS,12148,METAL HUD SPRAYER,EACH,
EQUIPMENT,AIRLESS EQUIP/MATERIALS,12149,PLASTIC HUD SPRAYER,EACH,
MATERIALS,AIRLESS EQUIP/MATERIALS,1111,AIRLESS TIP,EACH,
MATERIALS,AIRLESS EQUIP/MATERIALS,1112,40-20 TIP,EACH,
EQUIPMENT,AIRLESS EQUIP/MATERIALS,12150,DRAMM SPRAYER,EACH,
EQUIPMENT,PRESSURE WASHERS,12160,PRESSURE WASHER 110,EACH,
EQUIPMENT,PRESSURE WASHERS,12161,PRESSURE WASHER 220,EACH,
EQUIPMENT,PRESSURE WASHERS,12162,PRESSURE WASHER GAS,EACH,
EQUIPMENT,PRESSURE WASHERS,12163,HIGH PRESSURE HOSE,EACH,
EQUIPMENT,PRESSURE WASHERS,12164,HIGH PRESSURE GUN,EACH,
EQUIPMENT,PRESSURE WASHERS,12165,GRENADE TIP,EACH,
EQUIPMENT,PRESSURE WASHERS,12166,OIL FOR PRESSURE WASHER,EACH,
EQUIPMENT,PRESSURE WASHERS,12167,PRESSURE WASHER FAN TIP,EACH,
EQUIPMENT,PRESSURE WASHERS,12168,HOTSY,EACH,
EQUIPMENT,LADDERS/SCAFFOLDING,12180,BAKER WITH WHEELS ,EACH,
EQUIPMENT,LADDERS/SCAFFOLDING,12181,BAKER SAFETY RAIL,EACH,
EQUIPMENT,LADDERS/SCAFFOLDING,12182,SCAFFOLD WHEELS (4),SET,
EQUIPMENT,LADDERS/SCAFFOLDING,12183,5' FRAME,EACH,
EQUIPMENT,LADDERS/SCAFFOLDING,12184,6' FRAME WALK THRU,EACH,
EQUIPMENT,LADDERS/SCAFFOLDING,12185,7' CROSS BRACE,EACH,
EQUIPMENT,LADDERS/SCAFFOLDING,12186,10' CROSS BRACE,EACH,
EQUIPMENT,LADDERS/SCAFFOLDING,12187,10' ALUMINUM PLANK,EACH,
EQUIPMENT,LADDERS/SCAFFOLDING,12188,SCREW JACKS,EACH,
EQUIPMENT,LADDERS/SCAFFOLDING,12189,SAFETY RAIL SET,SET,
EQUIPMENT,LADDERS/SCAFFOLDING,12190,WOOD PLANK,EACH,
EQUIPMENT,LADDERS/SCAFFOLDING,12191,7' PLANK,EACH,
EQUIPMENT,LADDERS/SCAFFOLDING,12192,STACKING PINS,EACH,
EQUIPMENT,LADDERS/SCAFFOLDING,12193,4' LADDER,EACH,
EQUIPMENT,LADDERS/SCAFFOLDING,12194,6' LADDER,EACH,
EQUIPMENT,LADDERS/SCAFFOLDING,12195,8' LADDER,EACH,
EQUIPMENT,LADDERS/SCAFFOLDING,12196,10' LADDER,EACH,
EQUIPMENT,LADDERS/SCAFFOLDING,12197,12' LADDER,EACH,
EQUIPMENT,LADDERS/SCAFFOLDING,12198,LITTLE GIANT,EACH,
EQUIPMENT,LADDERS/SCAFFOLDING,12199,22' EXTENSION LADDER,EACH,
EQUIPMENT,LADDERS/SCAFFOLDING,12200,40' EXTENSION LADDER,EACH,
EQUIPMENT,LADDERS/SCAFFOLDING,12201,10' SINGLE LADDER,EACH,
EQUIPMENT,CLEANING EQUIPMENT,12210,SHORT BRUSH,EACH,
EQUIPMENT,CLEANING EQUIPMENT,12211,LONG BRUSH,EACH,
EQUIPMENT,CLEANING EQUIPMENT,12212,SCRUB BRUSH - HAND,EACH,
EQUIPMENT,CLEANING EQUIPMENT,12213,BROOM HANDLES,EACH,
EQUIPMENT,CLEANING EQUIPMENT,12214,SQUEEGEE,EACH,
EQUIPMENT,CLEANING EQUIPMENT,12215,MOP HANDLE,EACH,
EQUIPMENT,CLEANING EQUIPMENT,12216,MOP BUCKET,EACH,
EQUIPMENT,CLEANING EQUIPMENT,12217,SMALL BOTTLE BRUSH,EACH,
EQUIPMENT,CLEANING EQUIPMENT,12218,LARGE BOTTLE BRUSH,EACH,
EQUIPMENT,CLEANING EQUIPMENT,12219,WALL WASHER,EACH,
EQUIPMENT,CLEANING EQUIPMENT,12220,WALL WASHER HANDLES,EACH,
EQUIPMENT,CLEANING EQUIPMENT,12221,DOODLE BUGS,EACH,
EQUIPMENT,CLEANING EQUIPMENT,12222,DOODLE BUG HEAD,EACH,
EQUIPMENT,CLEANING EQUIPMENT,12223,BEND BRUSH,EACH,
FLOORING ONLY,CLEANING EQUIPMENT,15750,1 QUART MIXING CUP,EACH,
FLOORING ONLY,CLEANING EQUIPMENT,15751,2.5 QUART MIXING CUP,EACH,
FLOORING ONLY,CLEANING EQUIPMENT,15753,5 QUART MIXING PAIL,EACH,
FLOORING ONLY,CLEANING EQUIPMENT,12397,5 GAL PLASTIC PAIL,EACH,
MATERIALS,CLEANING MATERIAL,1500,SCRUB PADS BLACK,EACH,
MATERIALS,CLEANING MATERIAL,1501,SCRUB PADS GREEN,EACH,
MATERIALS,CLEANING MATERIAL,1508,MOP HEAD,EACH,
MATERIALS,CLEANING MATERIAL,1512,WIRE BRUSH,EACH,
MATERIALS,CLEANING MATERIAL,1513,WIRE TOOTH BRUSH,EACH,
MATERIALS,CLEANING MATERIAL,1516,WALL WASHER PADS,EACH,
MATERIALS,CLEANING MATERIAL,1517,STAINLESS SPONGE,EACH,
EQUIPMENT,CLEANING MATERIAL,12224,TOILET BRUSH,EACH,
EQUIPMENT,DRILLS & DRILL BITS,12230,ELECTRIC DRILL,EACH,
EQUIPMENT,DRILLS & DRILL BITS,12231,CORDLESS DRILL,EACH,
EQUIPMENT,DRILLS & DRILL BITS,12232,HAMMER DRILL,EACH,
EQUIPMENT,DRILLS & DRILL BITS,12233,HAMMER DRILL BITS,EACH,
EQUIPMENT,LIGHTS,12300,STRING LIGHTS,EACH,
EQUIPMENT,LIGHTS,12301,TREBLE LIGHTS,EACH,
EQUIPMENT,LIGHTS,12302,FLASHLIGHT,EACH,
EQUIPMENT,LIGHTS,12303,QUARTZ LIGHT,EACH,
EQUIPMENT,LIGHTS,12304,CLAMP LIGHT,EACH,
EQUIPMENT,LIGHTS,12305,1000 WATT LIGHT,EACH,
FLOORING ONLY,LIGH BULBS,2105,QUARTZ LIGHT BULBS,EACH,
FLOORING ONLY,LIGH BULBS,2107,CLAMP LIGHT BULBS,EACH,
MATERIALS,LIGH BULBS,2103,LIGHT BULBS,EACH,
MATERIALS,LIGH BULBS,2109,1000 WATT BULB,EACH,
MATERIALS,LIGH BULBS,2110,4' FLUOR TUBE BOX,EACH,
MATERIALS,LIGH BULBS,2111,8' FLUOR TUBE BOX,EACH,
EQUIPMENT,TILE & CARPET REMOVAL TOOLS,12240,CARPET CUTTER,EACH,
EQUIPMENT,TILE & CARPET REMOVAL TOOLS,12241,REPL CUTTER POINT,EACH,
